Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 1, 1, 100, 12, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 9, 9, 100, 10, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 4, 4, 100, 13, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 0, 0, -1, 6, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 2, 2, 100, 9, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 5, 5, 100, 14, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 7, 7, 100, 15, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 6, 6, 100, 13, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,34, 12, 12, 100, 13, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,35, 5, 5, 100, 13, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,36, 14, 14, 100, 10, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,37, 9, 1, 11.1111, 14, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,38, 14, 14, 100, 10, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,39, 0, 0, -1, 5, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,40, 7, 7, 100, 13, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,41, 98, 98, 100, 14, 1.6, 6, 69, 0, 2, 69, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,42, 86, 86, 100, 14, 1.6, 6, 69, 0, 2, 69, 20
