Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,0, 2, 2, 100, 16, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,1, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,2, 0, 0, -1, 5, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,3, 1, 1, 100, 16, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,4, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,5, 16, 16, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,6, 0, 0, -1, 7, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,7, 0, 0, -1, 8, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,8, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,9, 1, 1, 100, 13, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,10, 0, 0, -1, 7, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,11, 1, 1, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,12, 10, 10, 100, 16, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,13, 3, 3, 100, 16, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,14, 1, 1, 100, 15, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,15, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,16, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,17, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,18, 0, 0, -1, 8, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,19, 0, 0, -1, 7, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,20, 1, 1, 100, 16, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,21, 0, 0, -1, 7, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,22, 0, 0, -1, 7, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,23, 1, 1, 100, 13, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,24, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,25, 1, 1, 100, 13, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,26, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,27, 1, 1, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,28, 7, 7, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,29, 13, 13, 100, 15, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,30, 15, 15, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,31, 11, 11, 100, 15, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,32, 1, 1, 100, 11, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,33, 0, 0, -1, 6, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,34, 18, 17, 94.4444, 15, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,35, 18, 18, 100, 11, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,36, 48, 48, 100, 17, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,37, 31, 19, 61.2903, 17, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,38, 20, 20, 100, 11, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,39, 0, 0, -1, 5, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,40, 40, 40, 100, 15, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,41, 204, 204, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,42, 184, 184, 100, 12, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,43, 42, 42, 100, 11, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,44, 40, 39, 97.5, 10, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,45, 10, 0, 0, 10, 1.6, 6, 29, 0, 2, 29, 20
../Data/Sole_Pillar_Images/Sole_Pillar_Images_Video.avi,46, 4, 4, 100, 10, 1.6, 6, 29, 0, 2, 29, 20
