Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 0, 0, -1, 359, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 0, 0, -1, 351, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 0, 0, -1, 351, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 0, 0, -1, 346, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 0, 0, -1, 347, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 0, 0, -1, 343, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 0, 0, -1, 358, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 0, 0, -1, 361, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 0, 0, -1, 358, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 17, 0, 0, 358, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 9, 0, 0, 358, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 1, 0, 0, 349, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 0, 0, -1, 348, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 0, 0, -1, 356, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 0, 0, -1, 358, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 0, 0, -1, 357, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 0, 0, -1, 341, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 0, 0, -1, 353, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 0, 0, -1, 337, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 0, 0, -1, 351, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 0, 0, -1, 360, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 0, 0, -1, 354, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 0, 0, -1, 357, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 0, 0, -1, 335, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 0, 0, -1, 341, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 0, 0, -1, 349, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 0, 0, -1, 354, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 0, 0, -1, 353, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 0, 0, -1, 350, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 0, 0, -1, 364, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 0, 0, -1, 350, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 0, 0, -1, 372, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 0, 0, -1, 348, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 0, 0, -1, 346, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 0, 0, -1, 360, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 0, 0, -1, 346, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 0, 0, -1, 347, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,25, 0, 0, -1, 351, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 0, 0, -1, 348, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 0, 0, -1, 345, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 0, 0, -1, 343, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 0, 0, -1, 352, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 0, 0, -1, 365, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 0, 0, -1, 338, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 0, 0, -1, 354, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 0, 0, -1, 353, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 0, 0, -1, 364, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 0, 0, -1, 347, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 0, 0, -1, 342, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 0, 0, -1, 358, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 0, 0, -1, 343, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 0, 0, -1, 356, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 0, 0, -1, 347, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 0, 0, -1, 358, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 0, 0, -1, 353, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 0, 0, -1, 338, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 0, 0, -1, 357, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 0, 0, -1, 362, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 0, 0, -1, 343, 0.100000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 0, 0, -1, 344, 0.100000
