Video, Frame ID, matches, match percent, layers, contrast threshold, edge threshold, sigma, precise upscale
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 1, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 2, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 3, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 4, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 5, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 6, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 7, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 8, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 9, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 10, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 11, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 12, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 13, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 14, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 15, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 16, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 17, -1, -1, 3, 0.09, 10, 1.6, 0
../Data/Video_Data/Solo_Pillar.mkv, 18, -1, -1, 3, 0.09, 10, 1.6, 0
