Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), Scale factor, Levels, Edge threshold, First level, Points in element, Patch size, Fast threshold
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,0, 5, 5, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,1, 7, 7, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,2, 8, 8, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,3, 8, 8, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,4, 14, 14, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,5, 3, 3, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,6, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,7, 7, 7, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,8, 17, 17, 100, 8, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,9, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,10, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,11, 7, 7, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,12, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,13, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,14, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,15, 6, 6, 100, 8, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,16, 2, 2, 100, 8, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,17, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,18, 1, 1, 100, 8, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,19, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,20, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,21, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,22, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,23, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,24, 2, 2, 100, 12, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,25, 4, 4, 100, 13, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,26, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,27, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,28, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,29, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,30, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,31, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,32, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,33, 0, 0, -1, 4, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,34, 2, 2, 100, 9, 1.6, 6, 34, 0, 2, 34, 96
../Data/Water_Tank_2_Images/Water_Tank_2_Images_Video.avi,35, 0, 0, -1, 5, 1.6, 6, 34, 0, 2, 34, 96
