Video, Frame ID, matches, match percent, time_ms, descriptor_channels
../Data/Video_Data/Solo_Pillar.mkv, 91, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 92, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 93, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 94, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 95, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 96, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 97, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 98, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 99, -1, -1, -1, 1
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 1, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 2, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 3, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 4, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 5, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 6, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 7, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 8, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 9, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 10, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 11, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 12, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 13, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 14, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 15, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 16, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 17, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 18, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 19, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 20, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 21, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 22, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 23, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 24, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 25, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 26, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 27, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 28, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 29, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 30, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 31, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 32, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 33, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 34, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 35, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 36, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 37, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 38, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 39, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 40, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 41, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 42, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 43, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 44, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 45, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 46, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 47, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 48, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 49, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 50, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 51, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 52, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 53, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 54, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 55, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 56, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 57, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 58, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 59, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 60, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 61, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 62, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 63, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 64, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 65, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 66, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 67, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 68, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 69, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 70, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 71, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 72, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 73, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 74, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 75, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 76, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 77, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 78, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 79, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 80, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 81, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 82, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 83, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 84, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 85, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 86, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 87, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 88, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 89, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 90, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 91, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 92, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 93, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 94, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 95, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 96, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 97, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 98, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 99, -1, -1, -1, 2
../Data/Video_Data/Solo_Pillar.mkv, 0, -1, -1, -1, 3
../Data/Video_Data/Solo_Pillar.mkv, 1, 163, 76.5258, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 2, 160, 76.1905, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 3, 154, 76.2376, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 4, 147, 68.6916, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 5, 158, 74.8815, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 6, 157, 78.1095, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 7, 157, 75.4808, 1, 3
../Data/Video_Data/Solo_Pillar.mkv, 8, 146, 73, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 9, 144, 73.0964, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 10, 146, 76.4398, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 11, 140, 74.0741, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 12, 141, 73.057, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 13, 126, 64.9485, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 14, 123, 70.2857, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 15, 126, 69.6133, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 16, 127, 71.7514, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 17, 122, 71.345, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 18, 139, 78.9773, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 19, 131, 70.8108, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 20, 135, 75.8427, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 21, 140, 75.2688, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 22, 130, 69.5187, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 23, 130, 77.381, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 24, 121, 69.5402, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 25, 118, 72.8395, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 26, 118, 69.0058, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 27, 106, 69.7368, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 28, 109, 72.1854, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 29, 113, 72.4359, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 30, 104, 67.9739, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 31, 86, 65.1515, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 32, 93, 70.4545, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 33, 88, 65.6716, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 34, 84, 68.2927, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 35, 89, 72.9508, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 36, 85, 63.9098, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 37, 84, 70.5882, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 38, 87, 75, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 39, 77, 65.2542, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 40, 80, 75.4717, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 41, 85, 70.8333, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 42, 79, 69.2982, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 43, 86, 73.5043, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 44, 80, 70.7965, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 45, 73, 72.2772, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 46, 78, 75, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 47, 73, 66.9725, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 48, 71, 71, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 49, 76, 66.087, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 50, 70, 70.7071, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 51, 73, 73.7374, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 52, 80, 80, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 53, 86, 74.7826, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 54, 85, 70.2479, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 55, 77, 59.6899, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 56, 74, 71.8447, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 57, 85, 81.7308, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 58, 80, 64.5161, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 59, 85, 70.8333, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 60, 86, 64.1791, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 61, 84, 71.7949, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 62, 83, 71.5517, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 63, 78, 72.8972, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 64, 76, 74.5098, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 65, 75, 76.5306, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 66, 79, 71.8182, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 67, 78, 65.5462, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 68, 83, 69.7479, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 69, 83, 70.9402, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 70, 81, 69.2308, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 71, 83, 70.9402, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 72, 79, 66.3866, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 73, 83, 76.1468, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 74, 90, 70.8661, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 75, 87, 69.6, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 76, 82, 67.7686, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 77, 82, 74.5455, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 78, 83, 63.3588, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 79, 72, 65.4545, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 80, 81, 69.2308, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 81, 97, 75.7812, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 82, 87, 67.4419, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 83, 83, 74.1071, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 84, 89, 76.0684, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 85, 87, 72.5, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 86, 80, 70.7965, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 87, 82, 73.2143, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 88, 70, 59.8291, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 89, 66, 76.7442, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 90, 65, 73.0337, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 91, 67, 76.1364, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 92, 52, 57.7778, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 93, 51, 75, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 94, 54, 75, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 95, 42, 64.6154, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 96, 42, 76.3636, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 97, 43, 71.6667, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 98, 41, 69.4915, 0, 3
../Data/Video_Data/Solo_Pillar.mkv, 99, 44, 67.6923, 0, 3
